,index,Time,Open,High,Low,Close
0,0,2013-01-01 17:00:00 EST-0500,90.321,91.748,90.321,91.734
1,2,2013-01-02 17:00:00 EST-0500,91.738,91.761,91.122,91.308
2,4,2013-01-03 17:00:00 EST-0500,91.306,92.482,91.301,92.394
3,6,2013-01-04 17:00:00 EST-0500,92.394,92.394,92.394,92.394
4,8,2013-01-05 17:00:00 EST-0500,92.310,92.360,92.274,92.319
5,10,2013-01-06 17:00:00 EST-0500,92.322,92.844,91.772,92.226
6,12,2013-01-07 17:00:00 EST-0500,92.228,92.257,91.194,91.436
7,14,2013-01-08 17:00:00 EST-0500,91.434,92.532,91.224,92.398
8,16,2013-01-09 17:00:00 EST-0500,92.396,94.099,92.350,94.081
9,18,2013-01-10 17:00:00 EST-0500,94.082,94.528,93.786,93.956
10,20,2013-01-11 17:00:00 EST-0500,93.956,93.956,93.956,93.956
11,22,2013-01-12 17:00:00 EST-0500,94.126,94.242,94.062,94.225
12,24,2013-01-13 17:00:00 EST-0500,94.222,94.646,94.070,94.542
13,26,2013-01-14 17:00:00 EST-0500,94.546,94.664,93.106,93.810
14,28,2013-01-15 17:00:00 EST-0500,93.812,93.880,92.474,93.442
15,30,2013-01-16 17:00:00 EST-0500,93.441,95.016,92.553,94.782
16,32,2013-01-17 17:00:00 EST-0500,94.782,95.024,94.168,94.676
17,34,2013-01-18 17:00:00 EST-0500,94.676,94.676,94.676,94.676
18,36,2013-01-19 17:00:00 EST-0500,94.668,94.818,94.658,94.660
19,38,2013-01-20 17:00:00 EST-0500,94.656,94.834,93.945,94.238
20,40,2013-01-21 17:00:00 EST-0500,94.236,94.952,93.306,93.726
21,42,2013-01-22 17:00:00 EST-0500,93.724,93.880,92.808,93.523
22,44,2013-01-23 17:00:00 EST-0500,93.523,94.685,93.025,94.408
23,46,2013-01-24 17:00:00 EST-0500,94.408,95.098,94.351,94.733
24,48,2013-01-26 17:00:00 EST-0500,94.784,94.872,94.766,94.840
25,50,2013-01-27 17:00:00 EST-0500,94.838,95.027,94.098,94.646
26,52,2013-01-28 17:00:00 EST-0500,94.646,95.044,94.191,95.034
27,54,2013-01-29 17:00:00 EST-0500,95.036,95.465,94.678,94.884
28,56,2013-01-30 17:00:00 EST-0500,94.882,95.668,94.270,95.608
29,58,2013-01-31 17:00:00 EST-0500,95.609,96.732,95.414,96.591
30,60,2013-02-01 17:00:00 EST-0500,96.591,96.591,96.591,96.591
31,62,2013-02-02 17:00:00 EST-0500,96.550,96.784,96.540,96.732
32,64,2013-02-03 17:00:00 EST-0500,96.732,97.078,96.177,96.427
33,66,2013-02-04 17:00:00 EST-0500,96.425,97.438,95.958,97.280
34,68,2013-02-05 17:00:00 EST-0500,97.279,97.410,96.108,96.614
35,70,2013-02-06 17:00:00 EST-0500,96.614,97.037,95.830,96.261
36,72,2013-02-07 17:00:00 EST-0500,96.260,96.458,95.140,95.590
37,74,2013-02-08 17:00:00 EST-0500,95.590,95.590,95.590,95.590
38,76,2013-02-10 17:00:00 EST-0500,95.638,96.893,95.185,96.730
39,78,2013-02-11 17:00:00 EST-0500,96.734,96.885,95.792,96.336
40,80,2013-02-12 17:00:00 EST-0500,96.338,96.870,96.068,96.842
41,82,2013-02-13 17:00:00 EST-0500,96.844,96.978,95.990,96.214
42,84,2013-02-14 17:00:00 EST-0500,96.215,96.690,95.534,96.355
43,86,2013-02-15 17:00:00 EST-0500,96.355,96.355,96.355,96.355
44,88,2013-02-17 17:00:00 EST-0500,96.420,96.920,96.419,96.836
45,90,2013-02-18 17:00:00 EST-0500,96.836,96.950,96.474,96.909
46,92,2013-02-19 17:00:00 EST-0500,96.910,97.082,95.852,95.965
47,94,2013-02-20 17:00:00 EST-0500,95.962,96.205,95.064,95.402
48,96,2013-02-21 17:00:00 EST-0500,95.408,96.570,95.279,96.408
49,98,2013-02-24 17:00:00 EST-0500,97.417,97.445,93.556,94.188
50,100,2013-02-25 17:00:00 EST-0500,94.190,95.315,93.046,94.086
51,102,2013-02-26 17:00:00 EST-0500,94.085,94.578,92.968,94.357
52,104,2013-02-27 17:00:00 EST-0500,94.360,95.118,94.098,94.552
53,106,2013-02-28 17:00:00 EST-0500,94.554,95.620,94.430,95.492
54,108,2013-03-01 17:00:00 EST-0500,95.492,95.492,95.492,95.492
55,110,2013-03-03 17:00:00 EST-0500,95.537,95.542,94.448,95.314
56,112,2013-03-04 17:00:00 EST-0500,95.314,95.782,95.034,95.698
57,114,2013-03-05 17:00:00 EST-0500,95.698,96.393,95.626,96.265
58,116,2013-03-06 17:00:00 EST-0500,96.266,97.602,96.020,97.359
59,118,2013-03-07 17:00:00 EST-0500,97.360,99.062,97.328,98.264
60,120,2013-03-08 17:00:00 EST-0500,98.264,98.264,98.264,98.264
61,122,2013-03-10 17:00:00 EDT-0400,97.964,99.015,97.959,98.984
62,124,2013-03-11 17:00:00 EDT-0400,98.983,99.574,98.473,99.192
63,126,2013-03-12 17:00:00 EDT-0400,99.192,99.220,98.551,98.992
64,128,2013-03-13 17:00:00 EDT-0400,98.990,99.980,98.820,99.800
65,130,2013-03-14 17:00:00 EDT-0400,99.800,99.845,98.948,99.176
66,132,2013-03-15 17:00:00 EDT-0400,99.176,99.176,99.176,99.176
67,134,2013-03-17 17:00:00 EDT-0400,97.734,99.352,97.368,99.034
68,136,2013-03-18 17:00:00 EDT-0400,99.033,99.462,98.175,98.676
69,138,2013-03-19 17:00:00 EDT-0400,98.674,99.784,98.288,99.656
70,140,2013-03-20 17:00:00 EDT-0400,99.659,99.698,98.710,99.077
71,142,2013-03-21 17:00:00 EDT-0400,99.078,99.258,98.352,98.658
72,144,2013-03-24 17:00:00 EDT-0400,98.588,99.402,97.727,98.556
73,146,2013-03-25 17:00:00 EDT-0400,98.557,99.190,98.252,99.026
74,148,2013-03-26 17:00:00 EDT-0400,99.029,99.290,97.987,98.644
75,150,2013-03-27 17:00:00 EDT-0400,98.642,98.672,97.816,98.052
76,152,2013-03-28 17:00:00 EDT-0400,98.046,98.215,97.840,98.160
77,154,2013-03-31 17:00:00 EDT-0400,98.250,98.257,97.058,97.180
78,156,2013-04-01 17:00:00 EDT-0400,97.176,97.864,96.917,97.638
79,158,2013-04-02 17:00:00 EDT-0400,97.637,98.108,96.998,97.332
80,160,2013-04-03 17:00:00 EDT-0400,97.328,100.584,96.980,100.543
81,162,2013-04-04 17:00:00 EDT-0400,100.540,101.737,99.804,101.295
82,164,2013-04-07 17:00:00 EDT-0400,101.835,103.489,101.686,103.456
83,166,2013-04-08 17:00:00 EDT-0400,103.456,104.356,102.841,103.867
84,168,2013-04-09 17:00:00 EDT-0400,103.866,105.268,103.715,105.192
85,170,2013-04-10 17:00:00 EDT-0400,105.188,105.432,104.400,105.105
86,172,2013-04-11 17:00:00 EDT-0400,105.110,105.216,103.078,103.406
87,174,2013-04-12 17:00:00 EDT-0400,103.406,103.406,103.406,103.406
88,176,2013-04-14 17:00:00 EDT-0400,103.178,103.838,99.206,99.797
89,178,2013-04-15 17:00:00 EDT-0400,99.800,101.874,98.748,101.336
90,180,2013-04-16 17:00:00 EDT-0400,101.339,102.077,99.917,101.030
91,182,2013-04-17 17:00:00 EDT-0400,101.032,101.806,100.272,101.130
92,184,2013-04-18 17:00:00 EDT-0400,101.130,102.878,100.890,102.275
93,186,2013-04-21 17:00:00 EDT-0400,102.602,102.940,101.338,101.956
94,188,2013-04-22 17:00:00 EDT-0400,101.955,102.140,100.764,102.048
95,190,2013-04-23 17:00:00 EDT-0400,102.044,102.528,101.535,102.220
96,192,2013-04-24 17:00:00 EDT-0400,102.218,102.660,102.030,102.142
97,194,2013-04-25 17:00:00 EDT-0400,102.144,102.462,100.312,100.734
98,196,2013-04-28 17:00:00 EDT-0400,100.705,101.618,100.320,101.182
99,198,2013-04-29 17:00:00 EDT-0400,101.183,101.552,100.506,101.071
100,200,2013-04-30 17:00:00 EDT-0400,101.068,101.127,99.764,100.072
101,202,2013-05-01 17:00:00 EDT-0400,100.072,100.911,99.289,100.349
102,204,2013-05-02 17:00:00 EDT-0400,100.352,102.332,100.314,102.143
103,206,2013-05-05 17:00:00 EDT-0400,102.222,102.274,101.430,101.846
104,208,2013-05-06 17:00:00 EDT-0400,101.844,101.889,100.444,100.828
105,210,2013-05-07 17:00:00 EDT-0400,100.828,101.020,100.410,100.690
106,212,2013-05-08 17:00:00 EDT-0400,100.686,102.144,100.482,101.524
107,214,2013-05-09 17:00:00 EDT-0400,101.525,102.070,101.325,101.864
108,216,2013-05-12 17:00:00 EDT-0400,101.913,102.040,101.187,101.340
109,218,2013-05-13 17:00:00 EDT-0400,101.340,101.454,100.682,101.284
110,220,2013-05-14 17:00:00 EDT-0400,101.284,101.588,100.899,101.203
111,222,2013-05-15 17:00:00 EDT-0400,101.206,101.325,100.258,100.308
112,224,2013-05-16 17:00:00 EDT-0400,100.308,100.566,99.594,100.458
113,226,2013-05-19 17:00:00 EDT-0400,100.256,100.568,99.435,100.316
114,228,2013-05-20 17:00:00 EDT-0400,100.315,100.944,100.139,100.458
115,230,2013-05-21 17:00:00 EDT-0400,100.468,100.968,99.504,100.058
116,232,2013-05-22 17:00:00 EDT-0400,100.058,100.077,97.302,99.466
117,234,2013-05-23 17:00:00 EDT-0400,99.462,99.488,97.134,97.755
118,236,2013-05-26 17:00:00 EDT-0400,97.439,97.766,96.967,97.264
119,238,2013-05-27 17:00:00 EDT-0400,97.264,99.075,97.244,98.434
120,240,2013-05-28 17:00:00 EDT-0400,98.428,98.457,97.051,97.453
121,242,2013-05-29 17:00:00 EDT-0400,97.454,97.968,96.967,97.312
122,244,2013-05-30 17:00:00 EDT-0400,97.314,97.925,96.066,96.162
123,246,2013-06-02 17:00:00 EDT-0400,96.664,97.259,96.254,97.248
124,248,2013-06-03 17:00:00 EDT-0400,97.247,97.371,96.158,96.526
125,250,2013-06-04 17:00:00 EDT-0400,96.526,96.810,94.230,94.518
126,252,2013-06-05 17:00:00 EDT-0400,94.520,94.666,92.570,93.056
127,254,2013-06-06 17:00:00 EDT-0400,93.058,93.270,90.552,92.647
128,256,2013-06-09 17:00:00 EDT-0400,92.048,93.800,91.930,93.476
129,258,2013-06-10 17:00:00 EDT-0400,93.477,93.719,90.014,90.525
130,260,2013-06-11 17:00:00 EDT-0400,90.523,92.506,90.462,91.070
131,262,2013-06-12 17:00:00 EDT-0400,91.076,92.186,88.938,91.932
132,264,2013-06-13 17:00:00 EDT-0400,91.938,92.577,90.018,90.050
133,266,2013-06-16 17:00:00 EDT-0400,90.075,91.561,90.034,90.206
134,268,2013-06-17 17:00:00 EDT-0400,90.207,90.738,89.835,90.427
135,270,2013-06-18 17:00:00 EDT-0400,90.428,91.197,89.303,89.640
136,272,2013-06-19 17:00:00 EDT-0400,89.640,90.442,89.103,89.478
