,index,Time,Open,High,Low,Close
0,0,2013-01-01 17:00:00 EST-0500,1.25628,1.26434,1.24726,1.25926
1,2,2013-01-02 17:00:00 EST-0500,1.25925,1.26536,1.25794,1.26388
2,4,2013-01-03 17:00:00 EST-0500,1.26390,1.26812,1.25906,1.26007
3,6,2013-01-04 17:00:00 EST-0500,1.26007,1.26007,1.26007,1.26007
4,8,2013-01-05 17:00:00 EST-0500,1.26098,1.26182,1.26032,1.26136
5,10,2013-01-06 17:00:00 EST-0500,1.26145,1.26392,1.25368,1.25470
6,12,2013-01-07 17:00:00 EST-0500,1.25484,1.25728,1.25204,1.25541
7,14,2013-01-08 17:00:00 EST-0500,1.25542,1.25665,1.25069,1.25196
8,16,2013-01-09 17:00:00 EST-0500,1.25192,1.25660,1.25094,1.25315
9,18,2013-01-10 17:00:00 EST-0500,1.25320,1.26012,1.25250,1.25984
10,20,2013-01-11 17:00:00 EST-0500,1.25984,1.25984,1.25984,1.25984
11,22,2013-01-12 17:00:00 EST-0500,1.25800,1.25851,1.25728,1.25750
12,24,2013-01-13 17:00:00 EST-0500,1.25744,1.25988,1.25216,1.25306
13,26,2013-01-14 17:00:00 EST-0500,1.25306,1.25970,1.25168,1.25806
14,28,2013-01-15 17:00:00 EST-0500,1.25812,1.25929,1.25488,1.25682
15,30,2013-01-16 17:00:00 EST-0500,1.25678,1.26566,1.25112,1.26097
16,32,2013-01-17 17:00:00 EST-0500,1.26090,1.26182,1.25518,1.25558
17,34,2013-01-18 17:00:00 EST-0500,1.25558,1.25558,1.25558,1.25558
18,36,2013-01-19 17:00:00 EST-0500,1.25622,1.25672,1.25601,1.25601
19,38,2013-01-20 17:00:00 EST-0500,1.25608,1.25988,1.25510,1.25782
20,40,2013-01-21 17:00:00 EST-0500,1.25775,1.25862,1.25350,1.25632
21,42,2013-01-22 17:00:00 EST-0500,1.25642,1.25674,1.24967,1.25255
22,44,2013-01-23 17:00:00 EST-0500,1.25259,1.25298,1.24636,1.24750
23,46,2013-01-24 17:00:00 EST-0500,1.24746,1.25036,1.24326,1.24480
24,48,2013-01-26 17:00:00 EST-0500,1.24615,1.24694,1.24521,1.24679
25,50,2013-01-27 17:00:00 EST-0500,1.24674,1.25462,1.24529,1.24904
26,52,2013-01-28 17:00:00 EST-0500,1.24912,1.25112,1.24702,1.24773
27,54,2013-01-29 17:00:00 EST-0500,1.24772,1.25518,1.24442,1.24594
28,56,2013-01-30 17:00:00 EST-0500,1.24598,1.24721,1.24004,1.24258
29,58,2013-01-31 17:00:00 EST-0500,1.24260,1.24335,1.22976,1.23106
30,60,2013-02-01 17:00:00 EST-0500,1.23106,1.23106,1.23106,1.23106
31,62,2013-02-02 17:00:00 EST-0500,1.22997,1.23002,1.22702,1.22936
32,64,2013-02-03 17:00:00 EST-0500,1.22936,1.23820,1.22842,1.23772
33,66,2013-02-04 17:00:00 EST-0500,1.23777,1.24122,1.22886,1.22992
34,68,2013-02-05 17:00:00 EST-0500,1.22996,1.23088,1.22202,1.22901
35,70,2013-02-06 17:00:00 EST-0500,1.22900,1.23908,1.22816,1.23426
36,72,2013-02-07 17:00:00 EST-0500,1.23426,1.23700,1.23100,1.23469
37,74,2013-02-08 17:00:00 EST-0500,1.23469,1.23469,1.23469,1.23469
38,76,2013-02-10 17:00:00 EST-0500,1.23274,1.23640,1.22746,1.22778
39,78,2013-02-11 17:00:00 EST-0500,1.22778,1.22851,1.22289,1.22634
40,80,2013-02-12 17:00:00 EST-0500,1.22636,1.23114,1.22428,1.22620
41,82,2013-02-13 17:00:00 EST-0500,1.22617,1.22677,1.21632,1.21768
42,84,2013-02-14 17:00:00 EST-0500,1.21770,1.22104,1.21432,1.21965
43,86,2013-02-15 17:00:00 EST-0500,1.21965,1.21965,1.21965,1.21965
44,88,2013-02-17 17:00:00 EST-0500,1.21863,1.22250,1.21681,1.21936
45,90,2013-02-18 17:00:00 EST-0500,1.21938,1.22796,1.21899,1.22270
46,92,2013-02-19 17:00:00 EST-0500,1.22272,1.23484,1.22188,1.22708
47,94,2013-02-20 17:00:00 EST-0500,1.22714,1.22966,1.22626,1.22845
48,96,2013-02-21 17:00:00 EST-0500,1.22846,1.23444,1.22756,1.23184
49,98,2013-02-24 17:00:00 EST-0500,1.23191,1.23398,1.22588,1.23176
50,100,2013-02-25 17:00:00 EST-0500,1.23187,1.24307,1.23079,1.23970
51,102,2013-02-26 17:00:00 EST-0500,1.23972,1.24128,1.23500,1.23584
52,104,2013-02-27 17:00:00 EST-0500,1.23578,1.23962,1.23268,1.23830
53,106,2013-02-28 17:00:00 EST-0500,1.23830,1.23956,1.23382,1.23684
54,108,2013-03-01 17:00:00 EST-0500,1.23684,1.23684,1.23684,1.23684
55,110,2013-03-03 17:00:00 EST-0500,1.23914,1.23942,1.23110,1.23168
56,112,2013-03-04 17:00:00 EST-0500,1.23170,1.23828,1.23125,1.23412
57,114,2013-03-05 17:00:00 EST-0500,1.23417,1.23696,1.23133,1.23508
58,116,2013-03-06 17:00:00 EST-0500,1.23510,1.24191,1.23442,1.23949
59,118,2013-03-07 17:00:00 EST-0500,1.23951,1.24864,1.23866,1.24516
60,120,2013-03-08 17:00:00 EST-0500,1.24516,1.24516,1.24516,1.24516
61,122,2013-03-10 17:00:00 EDT-0400,1.24460,1.24796,1.24048,1.24148
62,124,2013-03-11 17:00:00 EDT-0400,1.24146,1.25248,1.24120,1.24818
63,126,2013-03-12 17:00:00 EDT-0400,1.24816,1.26049,1.24622,1.25818
64,128,2013-03-13 17:00:00 EDT-0400,1.25818,1.26832,1.25670,1.26310
65,130,2013-03-14 17:00:00 EDT-0400,1.26308,1.26561,1.25738,1.25816
66,132,2013-03-15 17:00:00 EDT-0400,1.25816,1.25816,1.25816,1.25816
67,134,2013-03-17 17:00:00 EDT-0400,1.25804,1.26224,1.25614,1.25814
