,index,Time,Open,High,Low,Close
0,0,2007-12-31 17:00:00 EST-0500,0.87650,0.87650,0.87510,0.87611
1,1,2008-01-01 17:00:00 EST-0500,0.87615,0.88505,0.87585,0.88358
2,3,2008-01-02 17:00:00 EST-0500,0.88360,0.88477,0.87877,0.88025
3,5,2008-01-03 17:00:00 EST-0500,0.88025,0.88384,0.87006,0.87216
4,7,2008-01-05 17:00:00 EST-0500,0.87232,0.87322,0.87037,0.87167
5,9,2008-01-06 17:00:00 EST-0500,0.87167,0.87489,0.86842,0.87285
6,11,2008-01-07 17:00:00 EST-0500,0.87285,0.88386,0.87067,0.87869
7,13,2008-01-08 17:00:00 EST-0500,0.87865,0.88580,0.87865,0.88303
8,15,2008-01-09 17:00:00 EST-0500,0.88311,0.89754,0.88123,0.89532
9,17,2008-01-10 17:00:00 EST-0500,0.89538,0.89707,0.88995,0.89095
10,19,2008-01-12 17:00:00 EST-0500,0.89095,0.89095,0.88737,0.88914
11,21,2008-01-13 17:00:00 EST-0500,0.88915,0.90035,0.88894,0.89963
12,23,2008-01-14 17:00:00 EST-0500,0.89963,0.90181,0.88049,0.88084
13,25,2008-01-15 17:00:00 EST-0500,0.88082,0.88685,0.87446,0.87968
14,27,2008-01-16 17:00:00 EST-0500,0.87965,0.88802,0.87614,0.87669
15,29,2008-01-17 17:00:00 EST-0500,0.87659,0.88520,0.87010,0.87913
16,31,2008-01-19 17:00:00 EST-0500,0.87939,0.87969,0.87690,0.87905
17,33,2008-01-20 17:00:00 EST-0500,0.87898,0.88203,0.85945,0.86127
18,35,2008-01-21 17:00:00 EST-0500,0.86133,0.87208,0.85145,0.86837
19,37,2008-01-22 17:00:00 EST-0500,0.86833,0.87474,0.86120,0.87307
20,39,2008-01-23 17:00:00 EST-0500,0.87302,0.88207,0.86920,0.88206
21,41,2008-01-24 17:00:00 EST-0500,0.88208,0.88539,0.87725,0.87957
22,43,2008-01-26 17:00:00 EST-0500,0.87943,0.87975,0.87810,0.87820
23,45,2008-01-27 17:00:00 EST-0500,0.87820,0.88917,0.87680,0.88913
24,47,2008-01-28 17:00:00 EST-0500,0.88915,0.89047,0.88600,0.88915
25,49,2008-01-29 17:00:00 EST-0500,0.88915,0.90158,0.88603,0.89318
26,51,2008-01-30 17:00:00 EST-0500,0.89313,0.89815,0.88213,0.89555
27,53,2008-01-31 17:00:00 EST-0500,0.89554,0.90471,0.89435,0.90425
28,55,2008-02-02 17:00:00 EST-0500,0.90395,0.90430,0.90220,0.90325
29,57,2008-02-03 17:00:00 EST-0500,0.90325,0.91006,0.90231,0.90819
30,59,2008-02-04 17:00:00 EST-0500,0.90815,0.90905,0.89418,0.89730
31,61,2008-02-05 17:00:00 EST-0500,0.89730,0.89974,0.89088,0.89584
32,63,2008-02-06 17:00:00 EST-0500,0.89587,0.89761,0.88747,0.89452
33,65,2008-02-07 17:00:00 EST-0500,0.89455,0.89860,0.89162,0.89555
34,67,2008-02-09 17:00:00 EST-0500,0.89535,0.89710,0.89535,0.89590
35,69,2008-02-10 17:00:00 EST-0500,0.89590,0.90577,0.89519,0.90354
36,71,2008-02-11 17:00:00 EST-0500,0.90358,0.90849,0.90207,0.90300
37,73,2008-02-12 17:00:00 EST-0500,0.90300,0.90465,0.89241,0.89633
38,75,2008-02-13 17:00:00 EST-0500,0.89632,0.90658,0.89536,0.90220
39,77,2008-02-14 17:00:00 EST-0500,0.90213,0.90965,0.90045,0.90904
40,79,2008-02-16 17:00:00 EST-0500,0.90838,0.90838,0.90545,0.90822
41,81,2008-02-17 17:00:00 EST-0500,0.90825,0.91409,0.90698,0.91372
42,83,2008-02-18 17:00:00 EST-0500,0.91362,0.92392,0.91362,0.91896
43,85,2008-02-19 17:00:00 EST-0500,0.91897,0.92122,0.91127,0.91828
44,87,2008-02-20 17:00:00 EST-0500,0.91828,0.92087,0.91663,0.91876
45,89,2008-02-21 17:00:00 EST-0500,0.91876,0.92507,0.91718,0.92385
46,91,2008-02-23 17:00:00 EST-0500,0.92365,0.92458,0.92337,0.92397
47,93,2008-02-24 17:00:00 EST-0500,0.92397,0.92745,0.92170,0.92698
48,95,2008-02-25 17:00:00 EST-0500,0.92698,0.93397,0.92533,0.93380
49,97,2008-02-26 17:00:00 EST-0500,0.93384,0.94325,0.93182,0.94169
50,99,2008-02-27 17:00:00 EST-0500,0.94166,0.94978,0.93665,0.94904
51,101,2008-02-28 17:00:00 EST-0500,0.94903,0.94906,0.93038,0.93088
52,103,2008-03-01 17:00:00 EST-0500,0.93064,0.93398,0.93008,0.93316
53,105,2008-03-02 17:00:00 EST-0500,0.93316,0.94217,0.92758,0.93963
54,107,2008-03-03 17:00:00 EST-0500,0.93961,0.94083,0.92183,0.92755
55,109,2008-03-04 17:00:00 EST-0500,0.92755,0.93477,0.92299,0.93477
56,111,2008-03-05 17:00:00 EST-0500,0.93517,0.93852,0.92477,0.92661
57,113,2008-03-06 17:00:00 EST-0500,0.92660,0.93763,0.92479,0.92681
58,115,2008-03-08 17:00:00 EST-0500,0.92680,0.92680,0.92620,0.92678
59,117,2008-03-09 17:00:00 EDT-0400,0.92678,0.93130,0.91605,0.91649
60,119,2008-03-10 17:00:00 EDT-0400,0.91652,0.92933,0.91492,0.92869
61,121,2008-03-11 17:00:00 EDT-0400,0.92868,0.93677,0.92760,0.93338
