,index,Time,Open,High,Low,Close
0,0,2013-01-01 17:00:00 EST-0500,1.32075,1.32994,1.31564,1.31864
1,2,2013-01-02 17:00:00 EST-0500,1.31864,1.31906,1.30468,1.30490
2,4,2013-01-03 17:00:00 EST-0500,1.30494,1.30896,1.29976,1.30688
3,6,2013-01-04 17:00:00 EST-0500,1.30688,1.30688,1.30688,1.30688
4,8,2013-01-05 17:00:00 EST-0500,1.30862,1.30870,1.30750,1.30756
5,10,2013-01-06 17:00:00 EST-0500,1.30760,1.31196,1.30166,1.31164
6,12,2013-01-07 17:00:00 EST-0500,1.31163,1.31400,1.30562,1.30811
7,14,2013-01-08 17:00:00 EST-0500,1.30810,1.30961,1.30368,1.30642
8,16,2013-01-09 17:00:00 EST-0500,1.30644,1.32732,1.30389,1.32719
9,18,2013-01-10 17:00:00 EST-0500,1.32714,1.33660,1.32485,1.33427
10,20,2013-01-11 17:00:00 EST-0500,1.33427,1.33427,1.33427,1.33427
11,22,2013-01-12 17:00:00 EST-0500,1.33566,1.33656,1.33535,1.33618
12,24,2013-01-13 17:00:00 EST-0500,1.33616,1.34040,1.33308,1.33820
13,26,2013-01-14 17:00:00 EST-0500,1.33820,1.33938,1.32636,1.33052
14,28,2013-01-15 17:00:00 EST-0500,1.33050,1.33250,1.32566,1.32892
15,30,2013-01-16 17:00:00 EST-0500,1.32892,1.33874,1.32702,1.33760
16,32,2013-01-17 17:00:00 EST-0500,1.33760,1.33984,1.32804,1.33202
17,34,2013-01-18 17:00:00 EST-0500,1.33202,1.33202,1.33202,1.33202
18,36,2013-01-19 17:00:00 EST-0500,1.33083,1.33148,1.33042,1.33112
19,38,2013-01-20 17:00:00 EST-0500,1.33108,1.33322,1.33000,1.33133
20,40,2013-01-21 17:00:00 EST-0500,1.33130,1.33719,1.32670,1.33224
21,42,2013-01-22 17:00:00 EST-0500,1.33222,1.33543,1.32644,1.33182
22,44,2013-01-23 17:00:00 EST-0500,1.33180,1.33929,1.32863,1.33772
23,46,2013-01-24 17:00:00 EST-0500,1.33774,1.34792,1.33499,1.34634
24,48,2013-01-26 17:00:00 EST-0500,1.34515,1.34688,1.34486,1.34658
25,50,2013-01-27 17:00:00 EST-0500,1.34660,1.34773,1.34246,1.34554
26,52,2013-01-28 17:00:00 EST-0500,1.34552,1.34972,1.34146,1.34920
27,54,2013-01-29 17:00:00 EST-0500,1.34920,1.35877,1.34821,1.35668
28,56,2013-01-30 17:00:00 EST-0500,1.35666,1.35945,1.35412,1.35774
29,58,2013-01-31 17:00:00 EST-0500,1.35773,1.37110,1.35734,1.36404
30,60,2013-02-01 17:00:00 EST-0500,1.36404,1.36404,1.36404,1.36404
31,62,2013-02-02 17:00:00 EST-0500,1.36431,1.36562,1.36320,1.36516
32,64,2013-02-03 17:00:00 EST-0500,1.36514,1.36600,1.35055,1.35140
33,66,2013-02-04 17:00:00 EST-0500,1.35138,1.35976,1.34584,1.35833
34,68,2013-02-05 17:00:00 EST-0500,1.35829,1.35961,1.34937,1.35226
35,70,2013-02-06 17:00:00 EST-0500,1.35226,1.35777,1.33707,1.33976
36,72,2013-02-07 17:00:00 EST-0500,1.33972,1.34294,1.33533,1.33656
37,74,2013-02-08 17:00:00 EST-0500,1.33656,1.33656,1.33656,1.33656
38,76,2013-02-10 17:00:00 EST-0500,1.33696,1.34276,1.33574,1.34058
39,78,2013-02-11 17:00:00 EST-0500,1.34058,1.34756,1.33640,1.34552
40,80,2013-02-12 17:00:00 EST-0500,1.34553,1.35202,1.34263,1.34521
41,82,2013-02-13 17:00:00 EST-0500,1.34520,1.34556,1.33151,1.33632
42,84,2013-02-14 17:00:00 EST-0500,1.33632,1.33937,1.33064,1.33606
43,86,2013-02-15 17:00:00 EST-0500,1.33606,1.33606,1.33606,1.33606
44,88,2013-02-17 17:00:00 EST-0500,1.33497,1.33795,1.33214,1.33510
45,90,2013-02-18 17:00:00 EST-0500,1.33508,1.33960,1.33290,1.33878
46,92,2013-02-19 17:00:00 EST-0500,1.33877,1.34342,1.32710,1.32825
47,94,2013-02-20 17:00:00 EST-0500,1.32823,1.32905,1.31612,1.31898
48,96,2013-02-21 17:00:00 EST-0500,1.31898,1.32460,1.31451,1.31910
49,98,2013-02-24 17:00:00 EST-0500,1.32175,1.33190,1.30475,1.30628
50,100,2013-02-25 17:00:00 EST-0500,1.30630,1.31230,1.30185,1.30612
51,102,2013-02-26 17:00:00 EST-0500,1.30610,1.31469,1.30415,1.31385
52,104,2013-02-27 17:00:00 EST-0500,1.31384,1.31622,1.30534,1.30565
