,index,Time,Open,High,Low,Close
0,0,2013-01-01 17:00:00 EST-0500,0.81242,0.81526,0.81065,0.81118
1,2,2013-01-02 17:00:00 EST-0500,0.81116,0.81207,0.80858,0.81013
2,4,2013-01-03 17:00:00 EST-0500,0.81018,0.81438,0.80972,0.81318
3,6,2013-01-04 17:00:00 EST-0500,0.81318,0.81318,0.81318,0.81318
4,8,2013-01-05 17:00:00 EST-0500,0.81373,0.81392,0.81350,0.81354
5,10,2013-01-06 17:00:00 EST-0500,0.81348,0.81498,0.81051,0.81390
6,12,2013-01-07 17:00:00 EST-0500,0.81391,0.81616,0.81368,0.81478
7,14,2013-01-08 17:00:00 EST-0500,0.81479,0.81628,0.81340,0.81532
8,16,2013-01-09 17:00:00 EST-0500,0.81533,0.82123,0.81446,0.82084
9,18,2013-01-10 17:00:00 EST-0500,0.82080,0.82877,0.82042,0.82716
10,20,2013-01-11 17:00:00 EST-0500,0.82716,0.82716,0.82716,0.82716
11,22,2013-01-12 17:00:00 EST-0500,0.82808,0.82832,0.82795,0.82826
12,24,2013-01-13 17:00:00 EST-0500,0.82827,0.83264,0.82802,0.83231
13,26,2013-01-14 17:00:00 EST-0500,0.83234,0.83252,0.82656,0.82823
14,28,2013-01-15 17:00:00 EST-0500,0.82824,0.83186,0.82663,0.83022
15,30,2013-01-16 17:00:00 EST-0500,0.83020,0.83652,0.83003,0.83633
16,32,2013-01-17 17:00:00 EST-0500,0.83630,0.83968,0.83557,0.83926
17,34,2013-01-18 17:00:00 EST-0500,0.83926,0.83926,0.83926,0.83926
18,36,2013-01-19 17:00:00 EST-0500,0.83988,0.84030,0.83967,0.83976
19,38,2013-01-20 17:00:00 EST-0500,0.83975,0.84210,0.83781,0.84100
20,40,2013-01-21 17:00:00 EST-0500,0.84101,0.84406,0.83642,0.84110
21,42,2013-01-22 17:00:00 EST-0500,0.84114,0.84202,0.83792,0.84048
22,44,2013-01-23 17:00:00 EST-0500,0.84048,0.84809,0.83912,0.84719
23,46,2013-01-24 17:00:00 EST-0500,0.84718,0.85369,0.84630,0.85206
24,48,2013-01-26 17:00:00 EST-0500,0.85320,0.85466,0.85305,0.85432
25,50,2013-01-27 17:00:00 EST-0500,0.85430,0.85868,0.85279,0.85732
26,52,2013-01-28 17:00:00 EST-0500,0.85730,0.85750,0.85280,0.85594
27,54,2013-01-29 17:00:00 EST-0500,0.85594,0.86068,0.85563,0.85866
28,56,2013-01-30 17:00:00 EST-0500,0.85863,0.85941,0.85542,0.85624
29,58,2013-01-31 17:00:00 EST-0500,0.85621,0.87170,0.85578,0.86924
30,60,2013-02-01 17:00:00 EST-0500,0.86924,0.86924,0.86924,0.86924
31,62,2013-02-02 17:00:00 EST-0500,0.86930,0.87023,0.86917,0.86988
32,64,2013-02-03 17:00:00 EST-0500,0.86986,0.87042,0.85684,0.85742
33,66,2013-02-04 17:00:00 EST-0500,0.85740,0.86875,0.85544,0.86742
34,68,2013-02-05 17:00:00 EST-0500,0.86740,0.86816,0.86153,0.86344
35,70,2013-02-06 17:00:00 EST-0500,0.86344,0.86634,0.85161,0.85254
36,72,2013-02-07 17:00:00 EST-0500,0.85253,0.85338,0.84468,0.84574
37,74,2013-02-08 17:00:00 EST-0500,0.84574,0.84574,0.84574,0.84574
38,76,2013-02-10 17:00:00 EST-0500,0.84607,0.85740,0.84573,0.85608
39,78,2013-02-11 17:00:00 EST-0500,0.85610,0.86312,0.85406,0.85894
40,80,2013-02-12 17:00:00 EST-0500,0.85896,0.86843,0.85714,0.86556
41,82,2013-02-13 17:00:00 EST-0500,0.86556,0.86664,0.85847,0.86243
42,84,2013-02-14 17:00:00 EST-0500,0.86242,0.86328,0.85745,0.86097
43,86,2013-02-15 17:00:00 EST-0500,0.86097,0.86097,0.86097,0.86097
44,88,2013-02-17 17:00:00 EST-0500,0.86092,0.86486,0.86042,0.86328
45,90,2013-02-18 17:00:00 EST-0500,0.86328,0.86850,0.86006,0.86796
46,92,2013-02-19 17:00:00 EST-0500,0.86795,0.87650,0.86738,0.87190
47,94,2013-02-20 17:00:00 EST-0500,0.87192,0.87590,0.86298,0.86468
48,96,2013-02-21 17:00:00 EST-0500,0.86468,0.87000,0.86048,0.86998
49,98,2013-02-24 17:00:00 EST-0500,0.87666,0.88154,0.86022,0.86146
50,100,2013-02-25 17:00:00 EST-0500,0.86146,0.86480,0.85762,0.86364
51,102,2013-02-26 17:00:00 EST-0500,0.86362,0.86789,0.86228,0.86667
52,104,2013-02-27 17:00:00 EST-0500,0.86669,0.86773,0.86016,0.86108
53,106,2013-02-28 17:00:00 EST-0500,0.86112,0.86852,0.86093,0.86584
54,108,2013-03-01 17:00:00 EST-0500,0.86584,0.86584,0.86584,0.86584
55,110,2013-03-03 17:00:00 EST-0500,0.86504,0.86652,0.86136,0.86178
56,112,2013-03-04 17:00:00 EST-0500,0.86179,0.86352,0.85886,0.86280
57,114,2013-03-05 17:00:00 EST-0500,0.86282,0.86503,0.86192,0.86344
58,116,2013-03-06 17:00:00 EST-0500,0.86342,0.87326,0.86340,0.87298
59,118,2013-03-07 17:00:00 EST-0500,0.87296,0.87434,0.86762,0.87125
60,120,2013-03-08 17:00:00 EST-0500,0.87125,0.87125,0.87125,0.87125
61,122,2013-03-10 17:00:00 EDT-0400,0.87038,0.87476,0.87029,0.87468
62,124,2013-03-11 17:00:00 EDT-0400,0.87468,0.87938,0.87188,0.87454
63,126,2013-03-12 17:00:00 EDT-0400,0.87454,0.87470,0.86634,0.86852
64,128,2013-03-13 17:00:00 EDT-0400,0.86852,0.86889,0.86120,0.86223
65,130,2013-03-14 17:00:00 EDT-0400,0.86222,0.86592,0.86026,0.86506
66,132,2013-03-15 17:00:00 EDT-0400,0.86506,0.86506,0.86506,0.86506
67,134,2013-03-17 17:00:00 EDT-0400,0.85358,0.85914,0.85317,0.85772
68,136,2013-03-18 17:00:00 EDT-0400,0.85772,0.85866,0.85051,0.85318
69,138,2013-03-19 17:00:00 EDT-0400,0.85320,0.86020,0.85190,0.85657
70,140,2013-03-20 17:00:00 EDT-0400,0.85658,0.85740,0.84898,0.85012
71,142,2013-03-21 17:00:00 EDT-0400,0.85012,0.85460,0.84848,0.85278
72,144,2013-03-24 17:00:00 EDT-0400,0.84988,0.85612,0.84578,0.84698
73,146,2013-03-25 17:00:00 EDT-0400,0.84700,0.84984,0.84594,0.84838
74,148,2013-03-26 17:00:00 EDT-0400,0.84838,0.84858,0.84370,0.84467
75,150,2013-03-27 17:00:00 EDT-0400,0.84466,0.84762,0.84158,0.84358
76,152,2013-03-28 17:00:00 EDT-0400,0.84354,0.84430,0.84248,0.84338
77,154,2013-03-31 17:00:00 EDT-0400,0.84304,0.84456,0.84108,0.84368
78,156,2013-04-01 17:00:00 EDT-0400,0.84371,0.84940,0.84256,0.84880
79,158,2013-04-02 17:00:00 EDT-0400,0.84884,0.84948,0.84690,0.84922
80,160,2013-04-03 17:00:00 EDT-0400,0.84922,0.85214,0.84354,0.84916
81,162,2013-04-04 17:00:00 EDT-0400,0.84916,0.85172,0.84702,0.84716
82,164,2013-04-07 17:00:00 EDT-0400,0.84734,0.85328,0.84632,0.85274
83,166,2013-04-08 17:00:00 EDT-0400,0.85275,0.85600,0.85073,0.85382
84,168,2013-04-09 17:00:00 EDT-0400,0.85384,0.85604,0.85192,0.85244
85,170,2013-04-10 17:00:00 EDT-0400,0.85240,0.85356,0.85046,0.85148
86,172,2013-04-11 17:00:00 EDT-0400,0.85146,0.85494,0.84900,0.85460
87,174,2013-04-12 17:00:00 EDT-0400,0.85460,0.85460,0.85460,0.85460
88,176,2013-04-14 17:00:00 EDT-0400,0.85470,0.85492,0.85150,0.85288
89,178,2013-04-15 17:00:00 EDT-0400,0.85286,0.86023,0.85231,0.85772
90,180,2013-04-16 17:00:00 EDT-0400,0.85770,0.86370,0.85337,0.85518
91,182,2013-04-17 17:00:00 EDT-0400,0.85520,0.85740,0.85298,0.85416
92,184,2013-04-18 17:00:00 EDT-0400,0.85416,0.85827,0.85036,0.85683
93,186,2013-04-21 17:00:00 EDT-0400,0.85856,0.85904,0.85420,0.85454
94,188,2013-04-22 17:00:00 EDT-0400,0.85454,0.85686,0.85106,0.85290
95,190,2013-04-23 17:00:00 EDT-0400,0.85287,0.85380,0.84970,0.85258
96,192,2013-04-24 17:00:00 EDT-0400,0.85258,0.85330,0.84098,0.84302
97,194,2013-04-25 17:00:00 EDT-0400,0.84298,0.84478,0.83980,0.84189
98,196,2013-04-28 17:00:00 EDT-0400,0.84251,0.84582,0.84050,0.84506
99,198,2013-04-29 17:00:00 EDT-0400,0.84503,0.84854,0.84252,0.84776
100,200,2013-04-30 17:00:00 EDT-0400,0.84772,0.84979,0.84602,0.84728
101,202,2013-05-01 17:00:00 EDT-0400,0.84728,0.84825,0.84050,0.84097
102,204,2013-05-02 17:00:00 EDT-0400,0.84098,0.84500,0.84068,0.84216
103,206,2013-05-05 17:00:00 EDT-0400,0.84255,0.84380,0.84011,0.84142
104,208,2013-05-06 17:00:00 EDT-0400,0.84140,0.84673,0.84090,0.84466
105,210,2013-05-07 17:00:00 EDT-0400,0.84468,0.84890,0.84432,0.84670
106,212,2013-05-08 17:00:00 EDT-0400,0.84671,0.84738,0.84312,0.84422
107,214,2013-05-09 17:00:00 EDT-0400,0.84423,0.84609,0.84312,0.84566
108,216,2013-05-12 17:00:00 EDT-0400,0.84452,0.84931,0.84318,0.84811
109,218,2013-05-13 17:00:00 EDT-0400,0.84811,0.85166,0.84742,0.84957
110,220,2013-05-14 17:00:00 EDT-0400,0.84958,0.85010,0.84357,0.84587
111,222,2013-05-15 17:00:00 EDT-0400,0.84588,0.84644,0.84208,0.84363
112,224,2013-05-16 17:00:00 EDT-0400,0.84363,0.84631,0.84294,0.84628
113,226,2013-05-19 17:00:00 EDT-0400,0.84532,0.84700,0.84410,0.84443
114,228,2013-05-20 17:00:00 EDT-0400,0.84446,0.85208,0.84406,0.85170
115,230,2013-05-21 17:00:00 EDT-0400,0.85170,0.85904,0.85167,0.85448
116,232,2013-05-22 17:00:00 EDT-0400,0.85446,0.85708,0.85324,0.85617
117,234,2013-05-23 17:00:00 EDT-0400,0.85614,0.85974,0.85354,0.85509
118,236,2013-05-26 17:00:00 EDT-0400,0.85458,0.85729,0.85352,0.85622
119,238,2013-05-27 17:00:00 EDT-0400,0.85623,0.85690,0.85424,0.85480
120,240,2013-05-28 17:00:00 EDT-0400,0.85478,0.85952,0.85408,0.85524
121,242,2013-05-29 17:00:00 EDT-0400,0.85521,0.85988,0.85452,0.85661
122,244,2013-05-30 17:00:00 EDT-0400,0.85662,0.85783,0.85287,0.85517
123,246,2013-06-02 17:00:00 EDT-0400,0.85456,0.85533,0.85026,0.85348
124,248,2013-06-03 17:00:00 EDT-0400,0.85350,0.85592,0.85220,0.85423
125,250,2013-06-04 17:00:00 EDT-0400,0.85424,0.85483,0.84916,0.84990
126,252,2013-06-05 17:00:00 EDT-0400,0.84989,0.85210,0.84766,0.84902
127,254,2013-06-06 17:00:00 EDT-0400,0.84902,0.85271,0.84814,0.84966
128,256,2013-06-09 17:00:00 EDT-0400,0.85010,0.85180,0.84874,0.85130
129,258,2013-06-10 17:00:00 EDT-0400,0.85130,0.85512,0.85011,0.85094
130,260,2013-06-11 17:00:00 EDT-0400,0.85093,0.85136,0.84694,0.85058
131,262,2013-06-12 17:00:00 EDT-0400,0.85054,0.85418,0.84761,0.85077
132,264,2013-06-13 17:00:00 EDT-0400,0.85074,0.85350,0.84895,0.84970
133,266,2013-06-16 17:00:00 EDT-0400,0.84855,0.85080,0.84752,0.85018
134,268,2013-06-17 17:00:00 EDT-0400,0.85018,0.85848,0.84990,0.85625
135,270,2013-06-18 17:00:00 EDT-0400,0.85626,0.85902,0.85438,0.85866
136,272,2013-06-19 17:00:00 EDT-0400,0.85866,0.85907,0.85176,0.85238
137,274,2013-06-20 17:00:00 EDT-0400,0.85236,0.85520,0.85053,0.85086
138,276,2013-06-23 17:00:00 EDT-0400,0.85142,0.85425,0.84830,0.85004
139,278,2013-06-24 17:00:00 EDT-0400,0.85006,0.85121,0.84720,0.84802
140,280,2013-06-25 17:00:00 EDT-0400,0.84804,0.84990,0.84692,0.84964
