,index,Time,Open,High,Low,Close
0,0,2013-01-01 17:00:00 EST-0500,114.588,115.994,114.570,115.170
1,2,2013-01-02 17:00:00 EST-0500,115.168,115.210,113.655,113.834
2,4,2013-01-03 17:00:00 EST-0500,113.834,115.414,113.834,115.208
3,6,2013-01-04 17:00:00 EST-0500,115.208,115.208,115.208,115.208
4,8,2013-01-05 17:00:00 EST-0500,115.353,115.364,115.218,115.220
5,10,2013-01-06 17:00:00 EST-0500,115.222,115.555,114.116,115.150
6,12,2013-01-07 17:00:00 EST-0500,115.148,115.244,113.638,113.866
7,14,2013-01-08 17:00:00 EST-0500,113.866,115.031,113.555,114.808
8,16,2013-01-09 17:00:00 EST-0500,114.808,117.844,114.772,117.830
9,18,2013-01-10 17:00:00 EST-0500,117.824,119.349,117.632,118.996
10,20,2013-01-11 17:00:00 EST-0500,118.996,118.996,118.996,118.996
11,22,2013-01-12 17:00:00 EST-0500,119.242,119.355,119.164,119.316
12,24,2013-01-13 17:00:00 EST-0500,119.316,120.128,118.886,119.740
13,26,2013-01-14 17:00:00 EST-0500,119.741,119.986,117.592,118.143
14,28,2013-01-15 17:00:00 EST-0500,118.144,118.252,116.470,117.452
15,30,2013-01-16 17:00:00 EST-0500,117.450,120.606,117.012,120.214
16,32,2013-01-17 17:00:00 EST-0500,120.218,120.720,119.346,119.986
17,34,2013-01-18 17:00:00 EST-0500,119.986,119.986,119.986,119.986
18,36,2013-01-19 17:00:00 EST-0500,119.890,120.017,119.861,119.924
19,38,2013-01-20 17:00:00 EST-0500,119.925,120.240,118.883,119.296
20,40,2013-01-21 17:00:00 EST-0500,119.304,120.166,117.328,118.185
21,42,2013-01-22 17:00:00 EST-0500,118.186,118.336,117.056,118.019
22,44,2013-01-23 17:00:00 EST-0500,118.020,121.074,117.585,120.835
23,46,2013-01-24 17:00:00 EST-0500,120.834,122.777,120.666,122.356
24,48,2013-01-26 17:00:00 EST-0500,122.448,122.636,122.404,122.606
25,50,2013-01-27 17:00:00 EST-0500,122.604,122.916,121.628,122.248
26,52,2013-01-28 17:00:00 EST-0500,122.248,122.572,121.220,122.408
27,54,2013-01-29 17:00:00 EST-0500,122.409,123.865,122.288,123.574
28,56,2013-01-30 17:00:00 EST-0500,123.574,124.603,122.991,124.526
29,58,2013-01-31 17:00:00 EST-0500,124.526,126.974,124.414,126.620
30,60,2013-02-01 17:00:00 EST-0500,126.620,126.620,126.620,126.620
31,62,2013-02-02 17:00:00 EST-0500,126.562,126.714,126.508,126.650
32,64,2013-02-03 17:00:00 EST-0500,126.656,126.862,124.636,124.840
33,66,2013-02-04 17:00:00 EST-0500,124.838,127.222,124.021,127.177
34,68,2013-02-05 17:00:00 EST-0500,127.176,127.710,125.929,126.597
35,70,2013-02-06 17:00:00 EST-0500,126.596,127.470,124.496,125.444
36,72,2013-02-07 17:00:00 EST-0500,125.444,125.578,123.431,123.820
37,74,2013-02-08 17:00:00 EST-0500,123.820,123.820,123.820,123.820
38,76,2013-02-10 17:00:00 EST-0500,123.987,126.640,123.511,126.443
39,78,2013-02-11 17:00:00 EST-0500,126.446,126.948,125.000,125.780
40,80,2013-02-12 17:00:00 EST-0500,125.784,126.567,124.778,125.632
41,82,2013-02-13 17:00:00 EST-0500,125.631,125.969,123.814,124.110
42,84,2013-02-14 17:00:00 EST-0500,124.110,125.284,122.903,124.928
43,86,2013-02-15 17:00:00 EST-0500,124.928,124.928,124.928,124.928
44,88,2013-02-17 17:00:00 EST-0500,125.068,125.900,125.012,125.436
45,90,2013-02-18 17:00:00 EST-0500,125.434,125.470,124.557,125.274
46,92,2013-02-19 17:00:00 EST-0500,125.274,125.900,124.176,124.282
47,94,2013-02-20 17:00:00 EST-0500,124.284,124.710,122.260,122.809
48,96,2013-02-21 17:00:00 EST-0500,122.808,123.784,122.548,123.221
49,98,2013-02-24 17:00:00 EST-0500,124.956,125.221,118.734,119.942
50,100,2013-02-25 17:00:00 EST-0500,119.944,121.364,118.968,120.138
51,102,2013-02-26 17:00:00 EST-0500,120.136,121.462,119.218,121.186
