,index,Time,Open,High,Low,Close
0,0,2007-12-31 17:00:00 EST-0500,1.45915,1.46080,1.45725,1.45920
1,1,2008-01-01 17:00:00 EST-0500,1.45905,1.47502,1.45885,1.47146
2,3,2008-01-02 17:00:00 EST-0500,1.47146,1.47812,1.46876,1.47510
3,5,2008-01-03 17:00:00 EST-0500,1.47504,1.48254,1.46958,1.47429
4,7,2008-01-05 17:00:00 EST-0500,1.47451,1.47559,1.47430,1.47465
5,9,2008-01-06 17:00:00 EST-0500,1.47465,1.47560,1.46586,1.46954
6,11,2008-01-07 17:00:00 EST-0500,1.46954,1.47444,1.46804,1.47078
7,13,2008-01-08 17:00:00 EST-0500,1.47074,1.47426,1.46394,1.46594
8,15,2008-01-09 17:00:00 EST-0500,1.46598,1.48134,1.46418,1.48038
9,17,2008-01-10 17:00:00 EST-0500,1.48030,1.48194,1.47618,1.47767
10,19,2008-01-12 17:00:00 EST-0500,1.47842,1.47877,1.47787,1.47822
11,21,2008-01-13 17:00:00 EST-0500,1.47823,1.49148,1.47823,1.48692
12,23,2008-01-14 17:00:00 EST-0500,1.48696,1.49224,1.48006,1.48042
13,25,2008-01-15 17:00:00 EST-0500,1.48038,1.48590,1.45948,1.46526
14,27,2008-01-16 17:00:00 EST-0500,1.46528,1.47158,1.45896,1.46422
15,29,2008-01-17 17:00:00 EST-0500,1.46428,1.46956,1.46027,1.46212
16,31,2008-01-19 17:00:00 EST-0500,1.46204,1.46204,1.45992,1.46035
17,33,2008-01-20 17:00:00 EST-0500,1.46040,1.46046,1.44218,1.44544
18,35,2008-01-21 17:00:00 EST-0500,1.44538,1.46434,1.43664,1.46294
19,37,2008-01-22 17:00:00 EST-0500,1.46292,1.46844,1.45114,1.46304
20,39,2008-01-23 17:00:00 EST-0500,1.46298,1.47794,1.45912,1.47556
21,41,2008-01-24 17:00:00 EST-0500,1.47546,1.47778,1.46610,1.46813
22,43,2008-01-26 17:00:00 EST-0500,1.46824,1.46862,1.46742,1.46802
23,45,2008-01-27 17:00:00 EST-0500,1.46802,1.47982,1.46612,1.47812
24,47,2008-01-28 17:00:00 EST-0500,1.47828,1.47974,1.47378,1.47764
25,49,2008-01-29 17:00:00 EST-0500,1.47764,1.49072,1.47554,1.48620
26,51,2008-01-30 17:00:00 EST-0500,1.48626,1.49146,1.48024,1.48604
27,53,2008-01-31 17:00:00 EST-0500,1.48604,1.49534,1.47866,1.48025
28,55,2008-02-02 17:00:00 EST-0500,1.48085,1.48125,1.48035,1.48060
29,57,2008-02-03 17:00:00 EST-0500,1.48055,1.48492,1.47935,1.48292
30,59,2008-02-04 17:00:00 EST-0500,1.48292,1.48344,1.46226,1.46478
31,61,2008-02-05 17:00:00 EST-0500,1.46482,1.46716,1.45920,1.46324
32,63,2008-02-06 17:00:00 EST-0500,1.46322,1.46518,1.44392,1.44850
33,65,2008-02-07 17:00:00 EST-0500,1.44842,1.45470,1.44508,1.45056
34,67,2008-02-09 17:00:00 EST-0500,1.45060,1.45265,1.45045,1.45175
35,69,2008-02-10 17:00:00 EST-0500,1.45175,1.45774,1.44818,1.45184
36,71,2008-02-11 17:00:00 EST-0500,1.45188,1.46150,1.44962,1.45844
37,73,2008-02-12 17:00:00 EST-0500,1.45844,1.45996,1.45318,1.45734
38,75,2008-02-13 17:00:00 EST-0500,1.45734,1.46470,1.45484,1.46428
39,77,2008-02-14 17:00:00 EST-0500,1.46424,1.47098,1.46312,1.46820
40,79,2008-02-16 17:00:00 EST-0500,1.46777,1.46825,1.46716,1.46799
41,81,2008-02-17 17:00:00 EST-0500,1.46800,1.46905,1.46112,1.46582
42,83,2008-02-18 17:00:00 EST-0500,1.46572,1.47566,1.46422,1.47258
43,85,2008-02-19 17:00:00 EST-0500,1.47262,1.47318,1.46142,1.47148
44,87,2008-02-20 17:00:00 EST-0500,1.47148,1.48376,1.47026,1.48140
45,89,2008-02-21 17:00:00 EST-0500,1.48146,1.48636,1.47886,1.48267
46,91,2008-02-22 17:00:00 EST-0500,1.48282,1.48282,1.48267,1.48267
47,93,2008-02-23 17:00:00 EST-0500,1.48267,1.48407,1.48267,1.48392
48,95,2008-02-24 17:00:00 EST-0500,1.48395,1.48442,1.47948,1.48302
49,97,2008-02-25 17:00:00 EST-0500,1.48302,1.49864,1.47778,1.49744
50,99,2008-02-26 17:00:00 EST-0500,1.49744,1.51440,1.49714,1.51204
51,101,2008-02-27 17:00:00 EST-0500,1.51198,1.52300,1.50740,1.51934
52,103,2008-02-28 17:00:00 EST-0500,1.51914,1.52390,1.51436,1.51786
53,105,2008-03-01 17:00:00 EST-0500,1.51862,1.51957,1.51667,1.51952
54,107,2008-03-02 17:00:00 EST-0500,1.51942,1.52764,1.51578,1.52040
55,109,2008-03-03 17:00:00 EST-0500,1.52036,1.52496,1.51738,1.52166
56,111,2008-03-04 17:00:00 EST-0500,1.52166,1.53022,1.51458,1.52650
57,113,2008-03-05 17:00:00 EST-0500,1.52650,1.53944,1.52616,1.53808
58,115,2008-03-06 17:00:00 EST-0500,1.53798,1.54625,1.53148,1.53557
59,117,2008-03-08 17:00:00 EST-0500,1.53507,1.53637,1.53502,1.53632
60,119,2008-03-09 17:00:00 EDT-0400,1.53632,1.54051,1.53134,1.53436
61,121,2008-03-10 17:00:00 EDT-0400,1.53434,1.54956,1.52830,1.53380
62,123,2008-03-11 17:00:00 EDT-0400,1.53376,1.55720,1.53316,1.55512
63,125,2008-03-12 17:00:00 EDT-0400,1.55512,1.56456,1.55226,1.56358
64,127,2008-03-13 17:00:00 EDT-0400,1.56358,1.56878,1.55326,1.56737
65,129,2008-03-15 17:00:00 EDT-0400,1.56702,1.56840,1.56565,1.56816
66,131,2008-03-16 17:00:00 EDT-0400,1.56815,1.59050,1.56800,1.57291
67,133,2008-03-17 17:00:00 EDT-0400,1.57291,1.58322,1.56173,1.56240
68,135,2008-03-18 17:00:00 EDT-0400,1.56247,1.57852,1.55822,1.56260
69,137,2008-03-19 17:00:00 EDT-0400,1.56260,1.56511,1.53968,1.54280
70,139,2008-03-20 17:00:00 EDT-0400,1.54278,1.54734,1.54057,1.54339
71,141,2008-03-22 17:00:00 EDT-0400,1.54395,1.54415,1.54360,1.54415
72,143,2008-03-23 17:00:00 EDT-0400,1.54415,1.54555,1.53415,1.54227
73,145,2008-03-24 17:00:00 EDT-0400,1.54233,1.56590,1.54078,1.56502
74,147,2008-03-25 17:00:00 EDT-0400,1.56498,1.58594,1.55842,1.58456
75,149,2008-03-26 17:00:00 EDT-0400,1.58460,1.58475,1.57264,1.57781
76,151,2008-03-27 17:00:00 EDT-0400,1.57781,1.58392,1.57419,1.57946
77,153,2008-03-29 17:00:00 EDT-0400,1.57930,1.58025,1.57930,1.58020
78,155,2008-03-30 17:00:00 EDT-0400,1.58020,1.58970,1.57606,1.57884
79,157,2008-03-31 17:00:00 EDT-0400,1.57878,1.57888,1.55632,1.56142
80,159,2008-04-01 17:00:00 EDT-0400,1.56144,1.57022,1.55338,1.56858
81,161,2008-04-02 17:00:00 EDT-0400,1.56858,1.56974,1.55108,1.56850
82,163,2008-04-03 17:00:00 EDT-0400,1.56840,1.57742,1.56380,1.57375
83,165,2008-04-05 17:00:00 EDT-0400,1.57357,1.57377,1.57227,1.57312
84,167,2008-04-06 17:00:00 EDT-0400,1.57312,1.57372,1.56276,1.57104
85,169,2008-04-07 17:00:00 EDT-0400,1.57108,1.57984,1.56744,1.57116
86,171,2008-04-08 17:00:00 EDT-0400,1.57126,1.58654,1.56834,1.58316
87,173,2008-04-09 17:00:00 EDT-0400,1.58316,1.59132,1.57252,1.57428
88,175,2008-04-10 17:00:00 EDT-0400,1.57428,1.58554,1.57390,1.58073
89,177,2008-04-12 17:00:00 EDT-0400,1.58055,1.59325,1.56545,1.56960
90,179,2008-04-13 17:00:00 EDT-0400,1.56960,1.58862,1.56711,1.58322
91,181,2008-04-14 17:00:00 EDT-0400,1.58322,1.58756,1.57520,1.57894
92,183,2008-04-15 17:00:00 EDT-0400,1.57886,1.59790,1.57590,1.59474
93,185,2008-04-16 17:00:00 EDT-0400,1.59474,1.59844,1.58467,1.59082
94,187,2008-04-17 17:00:00 EDT-0400,1.59082,1.59562,1.57109,1.58172
95,189,2008-04-19 17:00:00 EDT-0400,1.58174,1.58174,1.58025,1.58060
96,191,2008-04-20 17:00:00 EDT-0400,1.58060,1.59474,1.57905,1.59122
97,193,2008-04-21 17:00:00 EDT-0400,1.59124,1.60194,1.58346,1.59914
98,195,2008-04-22 17:00:00 EDT-0400,1.59928,1.60036,1.58604,1.58896
99,197,2008-04-23 17:00:00 EDT-0400,1.58900,1.58974,1.56386,1.56820
100,199,2008-04-24 17:00:00 EDT-0400,1.56810,1.57072,1.55556,1.56302
101,201,2008-04-25 17:00:00 EDT-0400,1.56270,1.56270,1.56270,1.56270
102,203,2008-04-26 17:00:00 EDT-0400,1.56250,1.56300,1.56085,1.56130
103,205,2008-04-27 17:00:00 EDT-0400,1.56130,1.56932,1.55968,1.56580
104,207,2008-04-28 17:00:00 EDT-0400,1.56578,1.56642,1.55404,1.55722
105,209,2008-04-29 17:00:00 EDT-0400,1.55722,1.56444,1.55165,1.56226
106,211,2008-04-30 17:00:00 EDT-0400,1.56216,1.56432,1.54308,1.54754
107,213,2008-05-01 17:00:00 EDT-0400,1.54763,1.54984,1.53608,1.54240
108,215,2008-05-03 17:00:00 EDT-0400,1.54175,1.54385,1.54145,1.54365
109,217,2008-05-04 17:00:00 EDT-0400,1.54365,1.55192,1.54230,1.54968
110,219,2008-05-05 17:00:00 EDT-0400,1.54972,1.55942,1.54528,1.55322
111,221,2008-05-06 17:00:00 EDT-0400,1.55324,1.55392,1.53668,1.53920
112,223,2008-05-07 17:00:00 EDT-0400,1.53920,1.54422,1.52852,1.53936
113,225,2008-05-08 17:00:00 EDT-0400,1.53936,1.54894,1.53924,1.54829
114,227,2008-05-10 17:00:00 EDT-0400,1.54859,1.54859,1.54490,1.54555
115,229,2008-05-11 17:00:00 EDT-0400,1.54555,1.55700,1.53658,1.55530
116,231,2008-05-12 17:00:00 EDT-0400,1.55532,1.55664,1.54312,1.54742
117,233,2008-05-13 17:00:00 EDT-0400,1.54744,1.54874,1.53966,1.54738
118,235,2008-05-14 17:00:00 EDT-0400,1.54738,1.55464,1.54204,1.54476
119,237,2008-05-15 17:00:00 EDT-0400,1.54476,1.56011,1.54364,1.55767
120,239,2008-05-17 17:00:00 EDT-0400,1.55830,1.55970,1.55815,1.55935
121,241,2008-05-18 17:00:00 EDT-0400,1.55935,1.56336,1.54860,1.55101
122,243,2008-05-19 17:00:00 EDT-0400,1.55096,1.56816,1.55032,1.56459
123,245,2008-05-20 17:00:00 EDT-0400,1.56459,1.57961,1.56318,1.57946
124,247,2008-05-21 17:00:00 EDT-0400,1.57946,1.58136,1.56934,1.57342
125,249,2008-05-22 17:00:00 EDT-0400,1.57342,1.57940,1.56968,1.57621
126,251,2008-05-24 17:00:00 EDT-0400,1.57614,1.57756,1.57612,1.57677
127,253,2008-05-25 17:00:00 EDT-0400,1.57677,1.57925,1.57419,1.57700
128,255,2008-05-26 17:00:00 EDT-0400,1.57698,1.58180,1.56822,1.56911
