,index,Time,Open,High,Low,Close
0,0,2007-12-31 17:00:00 EST-0500,1.98494,1.98665,1.98491,1.98645
1,1,2008-01-01 17:00:00 EST-0500,1.98665,1.98975,1.97738,1.98091
2,3,2008-01-02 17:00:00 EST-0500,1.98092,1.98398,1.97048,1.97102
3,5,2008-01-03 17:00:00 EST-0500,1.97112,1.98518,1.96738,1.97407
4,7,2008-01-05 17:00:00 EST-0500,1.97385,1.97402,1.97262,1.97402
5,9,2008-01-06 17:00:00 EST-0500,1.97402,1.97564,1.96532,1.97007
6,11,2008-01-07 17:00:00 EST-0500,1.97008,1.98284,1.96658,1.97311
7,13,2008-01-08 17:00:00 EST-0500,1.97320,1.97642,1.95532,1.95858
8,15,2008-01-09 17:00:00 EST-0500,1.95858,1.96718,1.95410,1.96148
9,17,2008-01-10 17:00:00 EST-0500,1.96145,1.96366,1.94836,1.95670
10,19,2008-01-11 17:00:00 EST-0500,1.95707,1.95707,1.95683,1.95707
11,21,2008-01-12 17:00:00 EST-0500,1.95760,1.95949,1.95760,1.95810
12,23,2008-01-13 17:00:00 EST-0500,1.95810,1.96484,1.95552,1.95595
13,25,2008-01-14 17:00:00 EST-0500,1.95595,1.97430,1.95255,1.96271
14,27,2008-01-15 17:00:00 EST-0500,1.96266,1.97212,1.95298,1.96345
15,29,2008-01-16 17:00:00 EST-0500,1.96344,1.97920,1.96048,1.97153
16,31,2008-01-17 17:00:00 EST-0500,1.97145,1.97280,1.95140,1.95547
17,33,2008-01-18 17:00:00 EST-0500,1.95537,1.95537,1.95537,1.95537
18,35,2008-01-19 17:00:00 EST-0500,1.95589,1.95822,1.95513,1.95772
19,37,2008-01-20 17:00:00 EST-0500,1.95772,1.95846,1.94288,1.94325
20,39,2008-01-21 17:00:00 EST-0500,1.94320,1.96310,1.93372,1.96061
21,41,2008-01-22 17:00:00 EST-0500,1.96075,1.96445,1.94652,1.95530
22,43,2008-01-23 17:00:00 EST-0500,1.95525,1.97802,1.95001,1.97655
23,45,2008-01-24 17:00:00 EST-0500,1.97655,1.98500,1.97304,1.98318
24,47,2008-01-26 17:00:00 EST-0500,1.98299,1.98488,1.98299,1.98409
25,49,2008-01-27 17:00:00 EST-0500,1.98409,1.98922,1.97299,1.98427
26,51,2008-01-28 17:00:00 EST-0500,1.98421,1.99298,1.98120,1.98939
27,53,2008-01-29 17:00:00 EST-0500,1.98939,1.99597,1.98390,1.98670
28,55,2008-01-30 17:00:00 EST-0500,1.98645,1.99462,1.98260,1.98726
29,57,2008-01-31 17:00:00 EST-0500,1.98726,1.99424,1.96475,1.96515
30,59,2008-02-02 17:00:00 EST-0500,1.96620,1.96635,1.96550,1.96555
31,61,2008-02-03 17:00:00 EST-0500,1.96560,1.97878,1.96280,1.97338
32,63,2008-02-04 17:00:00 EST-0500,1.97335,1.97627,1.96046,1.96487
33,65,2008-02-05 17:00:00 EST-0500,1.96487,1.96628,1.95544,1.96159
34,67,2008-02-06 17:00:00 EST-0500,1.96154,1.96249,1.93882,1.94240
35,69,2008-02-07 17:00:00 EST-0500,1.94240,1.95124,1.94035,1.94590
36,71,2008-02-09 17:00:00 EST-0500,1.94625,1.94717,1.94508,1.94595
37,73,2008-02-10 17:00:00 EST-0500,1.94595,1.95306,1.94028,1.95083
38,75,2008-02-11 17:00:00 EST-0500,1.95087,1.96338,1.94432,1.95983
39,77,2008-02-12 17:00:00 EST-0500,1.95976,1.96658,1.95504,1.96290
40,79,2008-02-13 17:00:00 EST-0500,1.96295,1.97378,1.96146,1.96911
41,81,2008-02-14 17:00:00 EST-0500,1.96911,1.97249,1.95805,1.96120
42,83,2008-02-16 17:00:00 EST-0500,1.96039,1.96039,1.95665,1.95730
43,85,2008-02-17 17:00:00 EST-0500,1.95730,1.96386,1.94752,1.95252
44,87,2008-02-18 17:00:00 EST-0500,1.95252,1.95426,1.94538,1.94840
45,89,2008-02-19 17:00:00 EST-0500,1.94830,1.95030,1.93624,1.94189
46,91,2008-02-20 17:00:00 EST-0500,1.94194,1.96430,1.94099,1.96278
47,93,2008-02-21 17:00:00 EST-0500,1.96278,1.97088,1.96100,1.96694
48,95,2008-02-23 17:00:00 EST-0500,1.96680,1.96977,1.96625,1.96950
49,97,2008-02-24 17:00:00 EST-0500,1.96947,1.97002,1.96166,1.96730
50,99,2008-02-25 17:00:00 EST-0500,1.96729,1.98770,1.96433,1.98718
51,101,2008-02-26 17:00:00 EST-0500,1.98713,1.99730,1.97903,1.98187
52,103,2008-02-27 17:00:00 EST-0500,1.98175,1.99488,1.97628,1.98880
53,105,2008-02-28 17:00:00 EST-0500,1.98864,1.99232,1.97846,1.98918
