,index,Time,Open,High,Low,Close
0,0,2007-12-31 17:00:00 EST-0500,0.76595,0.76795,0.7659199999999999,0.7679
1,1,2008-01-01 17:00:00 EST-0500,0.76775,0.7758,0.7675,0.77515
2,3,2008-01-02 17:00:00 EST-0500,0.7751,0.77892,0.76942,0.7706
3,5,2008-01-03 17:00:00 EST-0500,0.77065,0.77522,0.76507,0.76622
4,7,2008-01-05 17:00:00 EST-0500,0.76659,0.76689,0.76542,0.76637
5,9,2008-01-06 17:00:00 EST-0500,0.76637,0.77037,0.7612,0.7688699999999999
6,11,2008-01-07 17:00:00 EST-0500,0.76885,0.77328,0.76737,0.76878
7,13,2008-01-08 17:00:00 EST-0500,0.76895,0.7744,0.76727,0.77272
8,15,2008-01-09 17:00:00 EST-0500,0.77274,0.78695,0.7723300000000001,0.78505
9,17,2008-01-10 17:00:00 EST-0500,0.78525,0.78798,0.7811,0.7826
10,19,2008-01-12 17:00:00 EST-0500,0.7826,0.7826,0.77973,0.77975
11,21,2008-01-13 17:00:00 EST-0500,0.7798,0.79156,0.7798,0.79075
12,23,2008-01-14 17:00:00 EST-0500,0.79085,0.7933,0.77659,0.77712
13,25,2008-01-15 17:00:00 EST-0500,0.77709,0.78094,0.7645,0.7713
14,27,2008-01-16 17:00:00 EST-0500,0.7713300000000001,0.77636,0.764,0.76585
15,29,2008-01-17 17:00:00 EST-0500,0.76565,0.76872,0.75595,0.76
16,31,2008-01-19 17:00:00 EST-0500,0.75976,0.7601899999999999,0.75673,0.7595
17,33,2008-01-20 17:00:00 EST-0500,0.75975,0.76205,0.74362,0.74565
18,35,2008-01-21 17:00:00 EST-0500,0.74555,0.76753,0.7385,0.7638
19,37,2008-01-22 17:00:00 EST-0500,0.76373,0.76903,0.75466,0.76625
20,39,2008-01-23 17:00:00 EST-0500,0.7663,0.7744,0.76183,0.77395
21,41,2008-01-24 17:00:00 EST-0500,0.774,0.7750199999999999,0.76635,0.7679699999999999
22,43,2008-01-26 17:00:00 EST-0500,0.76831,0.76831,0.7667,0.76754
23,45,2008-01-27 17:00:00 EST-0500,0.76762,0.77762,0.7668,0.7774800000000001
24,47,2008-01-28 17:00:00 EST-0500,0.7774300000000001,0.7797,0.77545,0.77845
25,49,2008-01-29 17:00:00 EST-0500,0.77845,0.7915300000000001,0.77612,0.7844
26,51,2008-01-30 17:00:00 EST-0500,0.7843,0.78981,0.7752,0.78775
27,53,2008-01-31 17:00:00 EST-0500,0.7876,0.79611,0.7861,0.7949
28,55,2008-02-02 17:00:00 EST-0500,0.7949,0.7949,0.79208,0.7925
29,57,2008-02-03 17:00:00 EST-0500,0.7924,0.79691,0.7899,0.7936
30,59,2008-02-04 17:00:00 EST-0500,0.79355,0.79472,0.77823,0.78133
31,61,2008-02-05 17:00:00 EST-0500,0.7814,0.78925,0.7790699999999999,0.78775
32,63,2008-02-06 17:00:00 EST-0500,0.7877,0.7929,0.78259,0.78865
33,65,2008-02-07 17:00:00 EST-0500,0.78875,0.7914100000000001,0.78389,0.78855
34,67,2008-02-09 17:00:00 EST-0500,0.7887,0.78872,0.78685,0.78715
35,69,2008-02-10 17:00:00 EST-0500,0.78705,0.79152,0.78633,0.78895
36,71,2008-02-11 17:00:00 EST-0500,0.7891,0.79578,0.7865,0.79052
37,73,2008-02-12 17:00:00 EST-0500,0.79047,0.7910699999999999,0.7813899999999999,0.78375
38,75,2008-02-13 17:00:00 EST-0500,0.78355,0.79195,0.78333,0.78782
39,77,2008-02-14 17:00:00 EST-0500,0.78782,0.79175,0.78432,0.7902
40,79,2008-02-15 17:00:00 EST-0500,0.79028,0.79028,0.79028,0.79028
41,81,2008-02-16 17:00:00 EST-0500,0.7889,0.79051,0.78855,0.79004
42,83,2008-02-17 17:00:00 EST-0500,0.79019,0.79564,0.78951,0.79515
43,85,2008-02-18 17:00:00 EST-0500,0.79525,0.80238,0.795,0.79708
44,87,2008-02-19 17:00:00 EST-0500,0.79708,0.79918,0.7903600000000001,0.79781
45,89,2008-02-20 17:00:00 EST-0500,0.79781,0.8018,0.7973100000000001,0.8003100000000001
46,91,2008-02-21 17:00:00 EST-0500,0.8003600000000001,0.8103899999999999,0.79881,0.80866
47,93,2008-02-23 17:00:00 EST-0500,0.80877,0.81006,0.80697,0.80776
48,95,2008-02-24 17:00:00 EST-0500,0.80776,0.81193,0.80581,0.81148
49,97,2008-02-25 17:00:00 EST-0500,0.81143,0.81745,0.80672,0.81718
50,99,2008-02-26 17:00:00 EST-0500,0.8172,0.8214,0.8126399999999999,0.8163
51,101,2008-02-27 17:00:00 EST-0500,0.8162,0.8184,0.81055,0.81517
52,103,2008-02-28 17:00:00 EST-0500,0.81515,0.81698,0.79724,0.79865
53,105,2008-03-01 17:00:00 EST-0500,0.7963899999999999,0.80055,0.7963899999999999,0.80005
54,107,2008-03-02 17:00:00 EST-0500,0.80005,0.80835,0.79233,0.80655
55,109,2008-03-03 17:00:00 EST-0500,0.8066,0.80795,0.79576,0.80115
56,111,2008-03-04 17:00:00 EST-0500,0.8012,0.80365,0.7923,0.8024
57,113,2008-03-05 17:00:00 EST-0500,0.80265,0.80525,0.7953,0.79685
58,115,2008-03-06 17:00:00 EST-0500,0.79675,0.8016800000000001,0.79078,0.79378
59,117,2008-03-08 17:00:00 EST-0500,0.79235,0.7938,0.79145,0.79345
60,119,2008-03-09 17:00:00 EDT-0400,0.79345,0.79628,0.78768,0.78847
61,121,2008-03-10 17:00:00 EDT-0400,0.7884899999999999,0.80437,0.78757,0.80365
62,123,2008-03-11 17:00:00 EDT-0400,0.8036300000000001,0.80878,0.79974,0.8062
63,125,2008-03-12 17:00:00 EDT-0400,0.8063,0.8185,0.80115,0.81835
64,127,2008-03-13 17:00:00 EDT-0400,0.81835,0.8215600000000001,0.81166,0.81338
65,129,2008-03-14 17:00:00 EDT-0400,0.81325,0.81325,0.81325,0.81325
66,131,2008-03-15 17:00:00 EDT-0400,0.8135,0.81355,0.81123,0.8131
67,133,2008-03-16 17:00:00 EDT-0400,0.8131,0.82024,0.79215,0.8012699999999999
68,135,2008-03-17 17:00:00 EDT-0400,0.8012699999999999,0.81155,0.79775,0.80672
69,137,2008-03-18 17:00:00 EDT-0400,0.80675,0.81747,0.79708,0.79989
70,139,2008-03-19 17:00:00 EDT-0400,0.79995,0.8045,0.7868,0.79133
71,141,2008-03-20 17:00:00 EDT-0400,0.79138,0.79575,0.78963,0.79193
72,143,2008-03-22 17:00:00 EDT-0400,0.7925399999999999,0.7925399999999999,0.79085,0.7912
73,145,2008-03-23 17:00:00 EDT-0400,0.7912,0.79973,0.78833,0.79775
74,147,2008-03-24 17:00:00 EDT-0400,0.79765,0.8082,0.7971,0.80669
75,149,2008-03-25 17:00:00 EDT-0400,0.8066399999999999,0.8102600000000001,0.79882,0.80442
76,151,2008-03-26 17:00:00 EDT-0400,0.8044,0.80658,0.80006,0.80332
77,153,2008-03-27 17:00:00 EDT-0400,0.80335,0.80658,0.7941,0.79735
78,155,2008-03-29 17:00:00 EDT-0400,0.79688,0.79688,0.7942100000000001,0.7948
79,157,2008-03-30 17:00:00 EDT-0400,0.7948,0.796,0.78466,0.78588
80,159,2008-03-31 17:00:00 EDT-0400,0.78603,0.78801,0.77828,0.78686
81,161,2008-04-01 17:00:00 EDT-0400,0.78686,0.79264,0.7842100000000001,0.78984
82,163,2008-04-02 17:00:00 EDT-0400,0.78982,0.79125,0.78108,0.7854
83,165,2008-04-03 17:00:00 EDT-0400,0.78535,0.78975,0.7813399999999999,0.78938
84,167,2008-04-05 17:00:00 EDT-0400,0.78898,0.7896,0.78898,0.7895
85,169,2008-04-06 17:00:00 EDT-0400,0.7895,0.79894,0.78677,0.7958
86,171,2008-04-07 17:00:00 EDT-0400,0.79576,0.79988,0.79191,0.79943
87,173,2008-04-08 17:00:00 EDT-0400,0.79971,0.80061,0.79314,0.79723
88,175,2008-04-09 17:00:00 EDT-0400,0.7973600000000001,0.8026,0.79611,0.79875
89,177,2008-04-10 17:00:00 EDT-0400,0.79876,0.80114,0.7926,0.79323
90,179,2008-04-12 17:00:00 EDT-0400,0.79067,0.7922899999999999,0.78922,0.79022
91,181,2008-04-13 17:00:00 EDT-0400,0.79022,0.7924,0.7853100000000001,0.79178
92,183,2008-04-14 17:00:00 EDT-0400,0.79175,0.79478,0.78274,0.78645
93,185,2008-04-15 17:00:00 EDT-0400,0.78647,0.7923899999999999,0.7832,0.7922399999999999
94,187,2008-04-16 17:00:00 EDT-0400,0.7922399999999999,0.79346,0.7853399999999999,0.79094
95,189,2008-04-17 17:00:00 EDT-0400,0.79094,0.79414,0.7851899999999999,0.78999
96,191,2008-04-19 17:00:00 EDT-0400,0.78994,0.7904399999999999,0.7884399999999999,0.7895399999999999
97,193,2008-04-20 17:00:00 EDT-0400,0.78969,0.7972199999999999,0.7894399999999999,0.79394
98,195,2008-04-21 17:00:00 EDT-0400,0.79394,0.79876,0.79038,0.79732
99,197,2008-04-22 17:00:00 EDT-0400,0.79747,0.80342,0.79572,0.79852
100,199,2008-04-23 17:00:00 EDT-0400,0.79852,0.79852,0.78632,0.78843
101,201,2008-04-24 17:00:00 EDT-0400,0.78843,0.78878,0.7782,0.78176
102,203,2008-04-26 17:00:00 EDT-0400,0.782,0.7831199999999999,0.78192,0.78267
103,205,2008-04-27 17:00:00 EDT-0400,0.78242,0.78796,0.78227,0.78588
104,207,2008-04-28 17:00:00 EDT-0400,0.78599,0.78599,0.77276,0.77578
105,209,2008-04-29 17:00:00 EDT-0400,0.77577,0.78546,0.7728,0.78215
106,211,2008-04-30 17:00:00 EDT-0400,0.78215,0.7838,0.77407,0.77778
107,213,2008-05-01 17:00:00 EDT-0400,0.77793,0.7846,0.77558,0.78013
108,215,2008-05-03 17:00:00 EDT-0400,0.78108,0.78188,0.78078,0.78185
109,217,2008-05-04 17:00:00 EDT-0400,0.7818,0.7867,0.7791,0.78565
110,219,2008-05-05 17:00:00 EDT-0400,0.78565,0.79366,0.7844,0.79147
111,221,2008-05-06 17:00:00 EDT-0400,0.79165,0.79183,0.7812,0.78145
112,223,2008-05-07 17:00:00 EDT-0400,0.78145,0.78259,0.7691899999999999,0.77155
113,225,2008-05-08 17:00:00 EDT-0400,0.77182,0.77495,0.76508,0.76954
114,227,2008-05-10 17:00:00 EDT-0400,0.76878,0.76878,0.76618,0.76673
115,229,2008-05-11 17:00:00 EDT-0400,0.76673,0.77276,0.76295,0.77165
116,231,2008-05-12 17:00:00 EDT-0400,0.77148,0.77188,0.7636,0.7643399999999999
117,233,2008-05-13 17:00:00 EDT-0400,0.76407,0.7649699999999999,0.75926,0.76083
118,235,2008-05-14 17:00:00 EDT-0400,0.76088,0.76435,0.7539600000000001,0.7641
119,237,2008-05-15 17:00:00 EDT-0400,0.7641,0.77456,0.76203,0.77415
120,239,2008-05-17 17:00:00 EDT-0400,0.7743,0.7749,0.7738,0.7749
121,241,2008-05-18 17:00:00 EDT-0400,0.7749,0.77758,0.7707,0.77203
122,243,2008-05-19 17:00:00 EDT-0400,0.77208,0.7773800000000001,0.7714300000000001,0.77412
123,245,2008-05-20 17:00:00 EDT-0400,0.7741,0.78088,0.77263,0.7771
124,247,2008-05-21 17:00:00 EDT-0400,0.77713,0.7895,0.77623,0.78258
125,249,2008-05-22 17:00:00 EDT-0400,0.78263,0.7903,0.7824800000000001,0.78485
126,251,2008-05-24 17:00:00 EDT-0400,0.78509,0.78575,0.7849,0.78575
127,253,2008-05-25 17:00:00 EDT-0400,0.78575,0.7881199999999999,0.78285,0.7870199999999999
128,255,2008-05-26 17:00:00 EDT-0400,0.7870699999999999,0.79238,0.7857,0.78943
129,257,2008-05-27 17:00:00 EDT-0400,0.7893600000000001,0.79018,0.78332,0.78588
130,259,2008-05-28 17:00:00 EDT-0400,0.78598,0.78678,0.7770199999999999,0.77918
131,261,2008-05-29 17:00:00 EDT-0400,0.7793800000000001,0.78478,0.77868,0.78303
132,263,2008-05-31 17:00:00 EDT-0400,0.783,0.7837,0.7823,0.78301
133,265,2008-06-01 17:00:00 EDT-0400,0.78286,0.78674,0.7821100000000001,0.78487
134,267,2008-06-02 17:00:00 EDT-0400,0.78489,0.7893,0.78022,0.78141
135,269,2008-06-03 17:00:00 EDT-0400,0.78136,0.7841600000000001,0.77868,0.77978
136,271,2008-06-04 17:00:00 EDT-0400,0.77983,0.78028,0.7617,0.76808
137,273,2008-06-05 17:00:00 EDT-0400,0.7681,0.76978,0.7651,0.7678
138,275,2008-06-06 17:00:00 EDT-0400,0.7678,0.7678,0.7678,0.7678
139,277,2008-06-07 17:00:00 EDT-0400,0.7683800000000001,0.76905,0.76755,0.7685
140,279,2008-06-08 17:00:00 EDT-0400,0.76855,0.77046,0.75738,0.75885
141,281,2008-06-09 17:00:00 EDT-0400,0.7589199999999999,0.76042,0.75026,0.7528
142,283,2008-06-10 17:00:00 EDT-0400,0.75285,0.7579600000000001,0.7519,0.7552800000000001
143,285,2008-06-11 17:00:00 EDT-0400,0.75525,0.7568199999999999,0.7481,0.7498
144,287,2008-06-12 17:00:00 EDT-0400,0.74975,0.75375,0.7447600000000001,0.74973
145,289,2008-06-13 17:00:00 EDT-0400,0.74966,0.74966,0.74966,0.74966
146,291,2008-06-14 17:00:00 EDT-0400,0.74966,0.75363,0.74966,0.75093
147,293,2008-06-15 17:00:00 EDT-0400,0.75093,0.75442,0.74863,0.75345
148,295,2008-06-16 17:00:00 EDT-0400,0.75336,0.75716,0.75122,0.75531
149,297,2008-06-17 17:00:00 EDT-0400,0.75527,0.75976,0.75356,0.7590600000000001
150,299,2008-06-18 17:00:00 EDT-0400,0.7591600000000001,0.76336,0.7568199999999999,0.76269
151,301,2008-06-19 17:00:00 EDT-0400,0.76266,0.76474,0.7601600000000001,0.7610399999999999
152,303,2008-06-20 17:00:00 EDT-0400,0.76085,0.76085,0.76085,0.76085
153,305,2008-06-21 17:00:00 EDT-0400,0.7613800000000001,0.76153,0.76088,0.76103
154,307,2008-06-22 17:00:00 EDT-0400,0.76103,0.76373,0.75588,0.75781
155,309,2008-06-23 17:00:00 EDT-0400,0.75793,0.75984,0.75526,0.758
156,311,2008-06-24 17:00:00 EDT-0400,0.7579,0.76031,0.75458,0.7601100000000001
157,313,2008-06-25 17:00:00 EDT-0400,0.7600600000000001,0.76031,0.75438,0.75476
158,315,2008-06-26 17:00:00 EDT-0400,0.75483,0.76322,0.75346,0.7608600000000001
159,317,2008-06-28 17:00:00 EDT-0400,0.76146,0.76146,0.76071,0.7610100000000001
160,319,2008-06-29 17:00:00 EDT-0400,0.7610100000000001,0.7664,0.7591,0.7621600000000001
161,321,2008-06-30 17:00:00 EDT-0400,0.76202,0.76288,0.75578,0.7577
162,323,2008-07-01 17:00:00 EDT-0400,0.75772,0.76162,0.75642,0.7599199999999999
163,325,2008-07-02 17:00:00 EDT-0400,0.7599199999999999,0.7608199999999999,0.75513,0.75661
164,327,2008-07-03 17:00:00 EDT-0400,0.75666,0.76035,0.75416,0.75826
165,329,2008-07-05 17:00:00 EDT-0400,0.75941,0.75946,0.75826,0.75863
166,331,2008-07-06 17:00:00 EDT-0400,0.75863,0.76021,0.75034,0.75465
167,333,2008-07-07 17:00:00 EDT-0400,0.7547,0.7547,0.74854,0.75358
168,335,2008-07-08 17:00:00 EDT-0400,0.75372,0.7622399999999999,0.75149,0.75805
169,337,2008-07-09 17:00:00 EDT-0400,0.75798,0.76203,0.754,0.75881
170,339,2008-07-10 17:00:00 EDT-0400,0.75883,0.7649199999999999,0.75708,0.76141
171,341,2008-07-12 17:00:00 EDT-0400,0.7613800000000001,0.7623300000000001,0.76121,0.7622800000000001
172,343,2008-07-13 17:00:00 EDT-0400,0.7622,0.76484,0.7568600000000001,0.76418
173,345,2008-07-14 17:00:00 EDT-0400,0.76417,0.77628,0.76207,0.77258
174,347,2008-07-15 17:00:00 EDT-0400,0.77254,0.7738,0.7684,0.77162
175,349,2008-07-16 17:00:00 EDT-0400,0.77165,0.773,0.7589600000000001,0.76327
176,351,2008-07-17 17:00:00 EDT-0400,0.7632800000000001,0.7660399999999999,0.76098,0.7611
177,353,2008-07-18 17:00:00 EDT-0400,0.7611,0.7611,0.7611,0.7611
178,355,2008-07-19 17:00:00 EDT-0400,0.76165,0.76181,0.76117,0.76167
179,357,2008-07-20 17:00:00 EDT-0400,0.76167,0.7634,0.75874,0.76157
180,359,2008-07-21 17:00:00 EDT-0400,0.76168,0.7634,0.75734,0.75948
181,361,2008-07-22 17:00:00 EDT-0400,0.75946,0.7600100000000001,0.74958,0.74958
182,363,2008-07-23 17:00:00 EDT-0400,0.7500399999999999,0.7500399999999999,0.73874,0.74295
183,365,2008-07-24 17:00:00 EDT-0400,0.7429600000000001,0.747,0.74056,0.7417699999999999
184,367,2008-07-26 17:00:00 EDT-0400,0.743,0.743,0.7418,0.74235
185,369,2008-07-27 17:00:00 EDT-0400,0.74235,0.74536,0.7409,0.74463
186,371,2008-07-28 17:00:00 EDT-0400,0.7446,0.74663,0.7347600000000001,0.7400899999999999
187,373,2008-07-29 17:00:00 EDT-0400,0.7400899999999999,0.7401300000000001,0.7316,0.7339399999999999
188,375,2008-07-30 17:00:00 EDT-0400,0.73398,0.73638,0.73106,0.73439
189,377,2008-07-31 17:00:00 EDT-0400,0.73443,0.73451,0.7247899999999999,0.72729
190,379,2008-08-02 17:00:00 EDT-0400,0.7275,0.72865,0.7270800000000001,0.72863
191,381,2008-08-03 17:00:00 EDT-0400,0.7286100000000001,0.73326,0.7268899999999999,0.72959
192,383,2008-08-04 17:00:00 EDT-0400,0.72956,0.7295699999999999,0.72218,0.7267399999999999
193,385,2008-08-05 17:00:00 EDT-0400,0.72677,0.72705,0.71663,0.71753
194,387,2008-08-06 17:00:00 EDT-0400,0.71755,0.72168,0.71334,0.71433
195,389,2008-08-07 17:00:00 EDT-0400,0.71436,0.71509,0.69848,0.70434
196,391,2008-08-09 17:00:00 EDT-0400,0.70436,0.70436,0.7007,0.70117
197,393,2008-08-10 17:00:00 EDT-0400,0.7008,0.7084,0.69768,0.69943
198,395,2008-08-11 17:00:00 EDT-0400,0.6994199999999999,0.70118,0.6929,0.69587
199,397,2008-08-12 17:00:00 EDT-0400,0.6959,0.7057399999999999,0.6826399999999999,0.70318
200,399,2008-08-13 17:00:00 EDT-0400,0.70319,0.70568,0.69726,0.70007
201,401,2008-08-14 17:00:00 EDT-0400,0.70008,0.70762,0.69458,0.70611
202,403,2008-08-16 17:00:00 EDT-0400,0.70626,0.7065,0.70545,0.7059
203,405,2008-08-17 17:00:00 EDT-0400,0.7059,0.71592,0.70333,0.70996
204,407,2008-08-18 17:00:00 EDT-0400,0.70996,0.71524,0.70394,0.71308
205,409,2008-08-19 17:00:00 EDT-0400,0.7131,0.71597,0.7084,0.71314
206,411,2008-08-20 17:00:00 EDT-0400,0.71314,0.72123,0.7103,0.72072
207,413,2008-08-21 17:00:00 EDT-0400,0.72075,0.72151,0.70818,0.7088
208,415,2008-08-23 17:00:00 EDT-0400,0.7088800000000001,0.7088800000000001,0.70758,0.70763
209,417,2008-08-24 17:00:00 EDT-0400,0.7074600000000001,0.70963,0.70368,0.70368
210,419,2008-08-25 17:00:00 EDT-0400,0.70368,0.70504,0.6897399999999999,0.69745
211,421,2008-08-26 17:00:00 EDT-0400,0.69744,0.7045,0.69445,0.7017
212,423,2008-08-27 17:00:00 EDT-0400,0.70168,0.7069,0.7004600000000001,0.70201
213,425,2008-08-28 17:00:00 EDT-0400,0.702,0.70682,0.69822,0.70058
214,427,2008-08-30 17:00:00 EDT-0400,0.70029,0.7005100000000001,0.69968,0.70028
215,429,2008-08-31 17:00:00 EDT-0400,0.70033,0.70055,0.69416,0.6961
216,431,2008-09-01 17:00:00 EDT-0400,0.69634,0.69634,0.68038,0.68691
217,433,2008-09-02 17:00:00 EDT-0400,0.68685,0.68988,0.67345,0.68507
218,435,2008-09-03 17:00:00 EDT-0400,0.68482,0.68812,0.67135,0.67287
219,437,2008-09-04 17:00:00 EDT-0400,0.67277,0.67305,0.65914,0.66866
220,439,2008-09-06 17:00:00 EDT-0400,0.67145,0.67703,0.6712,0.67653
221,441,2008-09-07 17:00:00 EDT-0400,0.6765800000000001,0.68435,0.66472,0.6715899999999999
222,443,2008-09-08 17:00:00 EDT-0400,0.6715399999999999,0.679,0.6607,0.66818
223,445,2008-09-09 17:00:00 EDT-0400,0.6681699999999999,0.67214,0.6613,0.66306
224,447,2008-09-10 17:00:00 EDT-0400,0.66308,0.6640699999999999,0.64368,0.65584
225,449,2008-09-11 17:00:00 EDT-0400,0.65581,0.6693,0.6491,0.6681199999999999
226,451,2008-09-13 17:00:00 EDT-0400,0.6680699999999999,0.6680699999999999,0.66288,0.6663
227,453,2008-09-14 17:00:00 EDT-0400,0.6664800000000001,0.6724899999999999,0.6533800000000001,0.65937
228,455,2008-09-15 17:00:00 EDT-0400,0.65933,0.66341,0.64894,0.6605300000000001
229,457,2008-09-16 17:00:00 EDT-0400,0.66061,0.66848,0.65266,0.6611600000000001
230,459,2008-09-17 17:00:00 EDT-0400,0.66101,0.67906,0.65658,0.67688
231,461,2008-09-18 17:00:00 EDT-0400,0.67693,0.68988,0.66945,0.6883
232,463,2008-09-20 17:00:00 EDT-0400,0.68845,0.69228,0.6881,0.6905
233,465,2008-09-21 17:00:00 EDT-0400,0.6905,0.6952,0.68185,0.68862
234,467,2008-09-22 17:00:00 EDT-0400,0.6886,0.6922699999999999,0.67773,0.68115
235,469,2008-09-23 17:00:00 EDT-0400,0.6811,0.6887800000000001,0.67875,0.6831
236,471,2008-09-24 17:00:00 EDT-0400,0.68311,0.69038,0.67974,0.68204
237,473,2008-09-25 17:00:00 EDT-0400,0.68205,0.68992,0.67948,0.68595
238,475,2008-09-27 17:00:00 EDT-0400,0.68581,0.6883,0.68365,0.6848
